Race	Gender	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	tag
Asian	M	F	F	0	False	T	0	F	T	True	False	True	True	T	False	F	1	F	1	false	1	True
European	female	True	0	T	False	0	false	T	false	T	T	False	1	T	false	F	True	false	True	1	F	True
European	F	T	False	T	False	False	1	F	T	1	True	F	F	False	T	True	False	T	0	False	0	False
American	F	T	T	True	True	T	T	T	T	0	False	1	False	T	True	0	false	0	false	F	false	True
asian	F	0	True	True	False	T	True	True	false	1	false	1	False	1	T	T	0	F	T	0	T	True
asian	M	False	0	0	False	0	False	1	0	False	F	0	False	True	1	T	0	False	F	1	F	True
American	F	F	false	T	T	false	false	false	T	0	T	1	F	0	1	False	0	0	T	false	False	True
European	female	false	1	True	False	false	False	1	0	T	False	T	T	0	0	1	False	False	T	0	1	False
American	F	1	F	False	False	T	False	false	True	0	0	0	1	False	False	0	0	1	F	false	T	True
European	F	F	false	T	False	False	False	F	False	F	T	False	True	1	1	0	false	1	True	True	T	True
asian	female	T	F	True	False	False	T	False	True	T	True	0	false	T	1	True	false	False	T	T	False	False
asian	female	True	0	0	False	1	False	T	false	F	F	1	0	F	T	F	1	F	F	1	F	False
asian	F	T	False	F	False	T	0	1	1	0	T	1	F	True	True	F	True	1	F	1	F	False
European	M	F	False	T	False	0	F	False	False	T	False	0	1	false	T	1	1	1	F	false	False	False
asian	female	T	True	True	False	F	F	T	T	True	0	false	False	0	1	F	T	false	1	False	F	True
Asian	M	0	True	false	False	false	F	False	false	T	0	false	F	0	True	T	0	T	True	false	F	True
American	M	T	0	False	False	0	T	True	false	True	false	False	0	True	F	0	false	1	False	false	false	True
asian	F	T	false	T	False	False	0	1	False	True	T	F	false	False	F	F	false	F	T	F	0	False
asian	female	False	True	false	False	false	True	False	True	False	F	True	false	True	0	0	false	F	F	T	0	True
Asian	F	T	True	F	False	T	F	True	False	True	false	F	T	True	false	False	False	0	1	False	True	True
African	F	1	False	1	False	0	T	False	True	false	0	false	True	0	F	T	0	1	F	F	F	False
American	M	false	0	1	1	0	false	True	False	True	T	0	F	0	True	0	False	T	False	false	False	False
Asian	M	True	false	T	False	F	false	False	T	T	0	T	T	True	True	True	False	T	0	F	0	True
asian	female	false	T	T	False	0	1	false	T	F	1	0	0	True	false	T	false	False	F	False	False	False
European	female	1	F	1	False	False	F	False	false	false	0	false	0	0	T	false	0	F	T	False	True	False
American	female	True	T	1	1	F	True	True	F	True	True	1	False	T	0	F	T	True	False	1	0	False
European	M	True	False	T	False	T	0	True	True	True	True	false	False	false	True	False	false	T	0	False	0	False
African	female	false	1	1	False	T	False	F	T	T	True	F	True	T	1	0	True	True	F	True	False	False
European	female	false	F	false	False	False	false	True	False	T	0	0	False	False	0	false	F	false	True	T	T	False
asian	female	True	True	False	False	0	false	false	T	True	T	T	0	0	True	False	T	0	F	True	F	False
African	F	F	0	T	False	F	T	F	0	1	1	F	T	0	True	True	1	1	0	0	F	False
African	female	True	F	0	False	True	1	false	F	False	1	1	T	false	1	True	F	1	F	1	F	False
African	M	false	false	T	False	True	True	True	0	False	T	False	True	True	0	F	False	false	0	0	0	True
asian	F	0	0	T	False	T	True	False	False	True	True	True	0	false	T	F	T	False	False	T	F	False
American	M	F	false	0	0	False	F	F	false	F	False	false	T	0	0	1	F	false	True	T	F	False
European	M	1	T	T	False	True	T	F	false	1	True	false	false	F	1	T	False	F	True	True	T	True
African	female	0	True	F	False	false	F	False	1	0	T	T	0	True	T	false	False	F	False	false	1	False
African	M	False	0	0	False	T	1	F	false	F	F	1	T	0	True	1	1	F	0	false	True	False
European	F	false	True	false	False	0	0	1	0	False	F	T	1	false	False	F	false	false	False	F	false	False
Asian	female	false	True	1	False	False	false	0	false	0	false	False	false	1	0	0	T	F	false	False	False	False
European	female	F	F	False	False	T	False	false	1	F	false	1	T	True	false	F	False	False	false	False	0	True
Asian	female	T	false	T	False	1	F	0	True	0	False	0	True	True	False	0	1	T	false	1	1	True
African	F	T	0	T	False	F	False	False	0	T	1	False	F	True	false	F	F	T	T	1	false	False
American	M	false	1	0	0	false	false	0	True	F	0	0	T	False	T	false	1	T	F	T	True	False
European	F	F	True	True	False	T	F	T	false	0	0	F	T	T	F	True	1	0	false	0	False	False
European	M	false	0	F	False	F	False	True	false	0	1	F	True	1	false	False	false	T	false	True	True	True
Asian	F	1	T	False	False	T	0	False	1	False	1	false	False	F	T	True	True	0	F	False	T	False
European	female	0	True	F	False	True	F	T	1	F	False	True	False	T	F	F	1	F	0	false	False	True
European	M	False	T	1	False	T	0	False	False	1	F	True	False	false	false	False	false	True	True	1	0	True
African	M	false	F	False	False	T	F	1	F	0	False	1	false	false	T	F	T	0	True	T	T	False
Asian	M	false	F	True	False	True	0	1	True	F	True	F	false	1	1	1	False	True	True	0	F	True
European	female	F	T	false	False	T	F	False	false	True	false	F	0	1	1	False	T	F	T	1	0	True
asian	female	0	0	T	False	0	True	False	false	0	false	F	True	0	false	True	T	0	0	1	1	True
African	F	F	0	1	False	T	T	F	False	T	1	0	0	False	1	0	T	F	True	0	false	False
asian	female	T	F	F	False	F	True	1	0	True	false	False	T	false	True	0	True	false	True	1	0	True
American	female	F	1	1	1	0	False	F	0	F	F	F	false	T	0	0	F	T	True	1	0	True
European	F	false	1	F	False	F	T	0	True	false	False	1	1	0	false	1	0	F	T	1	F	False
asian	female	0	1	false	False	0	T	F	0	false	0	0	1	False	False	1	0	False	T	T	false	True
American	F	T	False	T	T	T	false	T	False	false	False	false	false	0	1	false	F	False	0	0	1	False
asian	M	false	False	0	False	F	False	F	F	True	0	T	1	false	false	False	0	F	T	True	True	True
African	M	0	F	false	False	False	false	True	0	false	True	False	1	True	0	T	True	F	1	0	1	True
American	female	false	false	F	F	1	T	T	0	F	False	T	0	1	True	false	1	false	T	1	T	False
Asian	M	false	False	T	False	0	0	false	False	0	1	T	false	True	True	1	T	1	T	F	0	True
asian	F	F	True	0	False	1	True	False	False	True	1	F	F	0	1	F	0	False	T	F	1	True
Asian	female	1	True	1	False	False	False	0	1	0	false	False	False	True	1	0	1	True	False	false	False	False
European	female	0	false	False	False	F	True	0	False	T	1	false	False	0	F	False	T	F	false	False	True	False
asian	M	True	F	F	False	0	T	F	F	1	False	True	0	F	1	F	T	False	0	False	True	True
asian	female	1	True	1	False	T	F	False	True	False	F	True	T	True	False	False	1	False	True	1	0	True
African	female	False	True	false	False	false	false	T	1	F	0	F	F	0	false	1	True	F	1	True	1	True
American	F	T	T	T	T	F	0	T	T	T	false	F	false	F	1	T	False	1	F	false	1	True
American	M	True	1	T	T	0	0	0	True	False	false	False	True	F	T	1	1	1	F	False	True	False
Asian	M	T	F	F	False	1	false	false	0	F	false	F	1	T	0	True	0	1	False	True	F	False
American	M	0	True	False	False	T	T	0	T	false	T	True	0	1	0	false	False	0	True	T	False	False
African	F	True	F	True	False	True	False	True	T	True	F	True	True	True	True	false	T	F	False	T	0	True
Asian	M	F	T	false	False	T	1	True	0	True	false	false	T	false	False	0	True	F	F	False	false	False
Asian	F	True	false	0	False	T	1	false	True	false	F	F	false	F	F	false	T	1	True	0	false	True
American	female	T	True	0	0	false	T	False	0	1	False	false	1	True	0	0	0	False	1	True	false	False
African	F	0	T	F	False	True	0	False	0	0	1	false	1	false	True	1	false	F	0	F	1	True
Asian	F	0	F	False	False	True	False	F	T	F	False	false	False	false	false	0	0	True	F	1	F	False
African	F	True	1	F	False	false	True	False	1	0	True	false	False	1	1	false	T	1	false	True	False	False
European	M	F	False	True	False	T	false	0	T	T	T	0	True	F	False	false	True	False	1	False	T	False
asian	F	1	False	0	False	False	F	0	True	T	false	F	False	0	1	False	T	1	0	1	false	True
African	F	T	false	F	False	False	false	0	1	True	T	True	True	F	False	F	F	False	0	T	F	False
asian	female	False	F	False	False	False	T	false	0	false	0	1	False	True	1	false	F	False	False	0	T	True
European	M	false	False	False	False	T	F	1	1	false	T	True	F	False	F	True	F	T	false	false	False	False
African	female	T	1	False	False	False	F	0	false	1	True	True	False	T	True	True	T	1	T	F	T	False
American	M	False	F	false	false	False	0	false	false	False	True	1	false	0	1	False	false	F	True	F	0	True
Asian	female	false	T	0	False	True	false	F	0	False	1	True	0	F	1	1	1	0	True	False	False	True
European	F	F	False	0	False	0	1	T	F	0	F	T	T	T	T	F	1	1	T	0	T	False
asian	F	True	False	false	False	0	false	True	True	false	T	False	0	T	false	F	0	T	False	True	false	True
European	F	false	T	False	False	False	F	False	false	True	0	false	1	false	True	1	0	True	False	F	False	True
American	female	False	True	F	F	True	T	F	F	T	0	1	False	False	0	False	1	1	True	F	false	False
African	M	F	True	F	False	1	1	0	True	F	True	True	True	1	False	T	false	F	T	False	True	False
American	female	False	0	1	1	0	T	F	0	T	0	True	False	1	F	T	False	1	T	false	True	True
asian	F	F	F	True	False	1	0	False	0	0	false	false	F	True	False	False	false	false	0	1	F	False
asian	M	1	F	F	False	1	1	1	0	True	false	T	T	True	T	False	false	false	false	True	1	True
American	M	false	True	1	1	True	false	T	True	1	T	false	T	False	False	1	T	False	False	T	True	True
American	F	False	F	False	False	false	0	0	T	True	T	False	0	False	T	F	1	false	F	0	True	True
asian	M	True	F	1	False	True	1	1	F	false	0	1	1	0	False	1	F	T	false	F	False	True
Asian	M	0	T	F	False	False	0	T	False	F	false	0	T	false	True	0	F	false	True	false	0	True
European	M	1	False	0	False	false	True	false	F	T	false	True	false	F	F	0	False	1	T	0	false	False
Asian	female	False	F	false	False	F	1	T	0	0	false	False	T	1	1	false	True	True	F	false	T	True
Asian	F	false	T	T	False	1	False	F	True	false	1	F	True	False	1	T	True	False	False	True	False	False
American	F	F	False	F	F	T	False	False	T	False	T	True	false	0	T	F	T	False	false	F	false	True
asian	F	True	false	True	False	True	True	F	True	false	F	F	1	0	F	False	false	F	false	True	True	True
American	M	false	True	T	T	false	false	F	T	false	False	False	True	1	T	1	T	T	T	T	false	False
Asian	female	F	F	0	False	False	0	F	F	false	0	True	1	F	0	1	0	0	F	True	0	False
European	female	0	F	0	False	F	True	0	False	0	False	1	F	false	False	T	T	1	True	F	False	False
European	F	F	T	false	False	False	F	T	False	1	T	F	0	True	1	True	False	false	0	T	True	False
European	F	F	T	T	False	1	1	F	F	F	False	False	1	True	F	1	False	F	1	F	T	False
Asian	F	False	false	True	False	False	1	F	false	1	False	false	True	false	1	1	false	T	True	1	T	True
American	F	F	False	T	T	True	True	1	0	0	false	T	True	0	F	True	F	0	False	F	True	False
American	female	false	F	F	F	0	false	True	F	1	false	False	F	True	1	1	1	0	false	1	True	True
African	female	0	0	False	False	T	F	False	F	True	F	0	false	1	1	F	false	F	0	True	False	True
American	female	False	False	True	True	True	T	1	True	1	False	1	0	1	T	F	False	0	false	F	F	False
American	F	F	false	False	False	T	False	False	0	false	True	1	True	False	F	T	False	False	False	F	0	False
American	M	False	0	false	false	0	0	False	T	T	True	False	T	False	F	false	1	1	True	False	False	True
American	M	T	False	F	F	false	True	T	True	False	false	F	0	True	1	T	0	True	F	True	False	True
African	female	True	F	True	False	True	False	False	True	T	1	false	True	false	T	False	F	True	T	0	T	False
American	M	false	false	1	1	F	1	0	0	false	T	false	False	1	false	T	T	0	0	False	False	True
Asian	F	F	0	0	False	1	false	1	false	0	True	1	False	0	0	F	T	0	F	1	False	True
Asian	female	T	0	1	False	F	F	0	False	True	False	0	True	0	False	False	False	T	1	0	False	True
Asian	F	0	false	1	False	T	F	1	T	T	T	false	F	1	1	false	F	1	T	F	False	True
asian	F	False	0	T	False	T	F	1	1	T	0	True	False	T	1	1	T	0	false	T	T	True
European	female	0	False	false	False	T	T	T	false	False	True	True	F	T	T	False	false	0	F	false	0	True
American	F	false	T	false	false	False	1	false	1	False	1	T	T	0	True	0	false	T	True	True	false	False
Asian	F	False	0	True	False	F	0	F	False	false	false	1	1	false	True	1	True	T	false	F	False	True
American	female	false	0	True	True	T	T	0	F	False	false	0	T	T	False	T	0	T	false	1	1	True
Asian	female	1	True	F	False	False	True	F	1	false	0	false	false	false	F	0	0	false	False	T	True	True
Asian	female	T	F	True	False	false	0	False	1	True	F	1	F	True	1	F	False	True	0	T	0	True
European	female	0	0	False	False	True	false	0	1	True	0	0	false	True	False	False	1	false	1	T	F	True
European	M	F	false	F	False	F	T	false	0	false	false	false	1	0	False	F	1	F	F	false	1	False
European	female	1	F	T	False	T	1	False	0	false	false	false	0	false	1	F	false	F	False	false	false	False
European	female	False	F	T	False	T	1	1	0	0	False	false	0	false	True	True	false	1	0	0	T	False
African	F	F	False	True	False	0	0	false	T	F	0	1	false	0	0	0	0	F	F	T	True	False
American	F	False	F	0	0	F	1	false	false	0	True	False	F	T	F	0	T	T	T	F	false	True
asian	female	1	1	false	False	F	0	True	False	0	0	True	1	F	0	0	True	T	True	0	F	False
asian	M	0	T	T	False	F	0	false	True	F	false	True	false	False	0	F	False	T	false	1	0	True
European	M	True	True	1	False	false	True	F	T	False	True	0	F	T	T	True	0	F	T	T	false	True
asian	female	1	F	1	False	false	F	False	false	F	True	1	True	F	false	True	T	T	0	False	1	False
African	female	false	True	False	False	False	T	0	True	false	1	F	True	T	1	false	0	T	F	false	0	False
European	F	F	T	0	False	1	False	T	False	False	False	false	false	F	False	True	T	F	1	F	True	True
American	F	1	True	T	T	True	F	false	T	1	False	False	True	T	False	1	T	False	F	True	false	False
Asian	female	0	T	True	False	1	1	false	0	1	False	True	0	T	T	True	0	false	True	0	T	True
African	F	0	True	1	False	false	1	0	T	False	0	1	1	false	True	0	T	T	T	True	0	True
European	female	false	False	1	False	False	1	F	True	False	True	True	True	T	F	1	false	False	false	F	false	False
European	female	F	True	True	False	True	0	F	F	True	0	False	1	F	0	T	True	false	1	True	False	True
asian	F	True	False	F	False	False	0	F	True	0	false	1	False	false	T	True	T	1	false	True	0	True
American	F	1	0	False	False	false	0	0	false	T	false	False	F	F	False	T	1	false	F	0	false	False
African	F	False	False	1	False	false	True	True	F	false	1	0	T	F	F	F	false	False	1	F	0	True
European	female	True	1	False	False	false	T	False	0	false	False	F	F	false	0	True	True	T	T	F	false	False
Asian	female	F	True	1	False	F	False	F	false	False	True	0	T	1	false	T	False	True	false	T	True	True
Asian	M	False	False	True	False	True	0	T	False	1	T	F	F	1	0	True	True	0	True	false	T	True
Asian	female	0	False	False	False	0	F	T	F	F	1	False	T	True	1	T	False	True	False	T	false	True
American	F	True	false	False	False	0	False	True	True	1	1	1	1	false	F	False	False	0	F	0	1	True
European	female	False	1	false	False	false	1	F	1	True	F	0	T	F	T	True	0	T	false	false	T	False
European	F	0	F	false	False	T	F	1	0	false	false	F	false	1	False	T	false	True	False	True	0	False
asian	M	0	False	False	False	1	0	T	False	false	T	F	false	1	T	1	True	True	0	1	F	True
American	M	False	T	F	F	True	F	True	True	1	F	false	0	0	0	T	F	1	False	T	F	True
European	M	F	False	F	False	True	True	0	0	True	True	1	0	T	False	1	True	0	T	F	1	False
asian	M	1	T	T	False	1	false	1	F	false	F	False	1	T	1	1	False	False	0	True	0	True
Asian	F	True	False	False	False	false	True	F	false	T	false	false	False	1	1	T	False	T	T	0	T	False
Asian	female	False	True	F	False	1	false	0	True	True	F	false	True	F	F	T	false	False	False	1	T	True
African	F	False	F	F	False	False	T	1	T	F	True	False	false	0	False	False	false	False	True	1	True	False
American	female	false	T	0	0	F	F	1	F	1	F	false	T	0	T	0	1	False	false	false	0	True
European	F	T	F	F	False	false	T	False	1	0	T	1	True	false	0	1	T	T	0	0	false	False
asian	female	True	1	T	False	1	False	1	T	True	1	True	T	T	True	false	False	True	False	0	F	False
American	M	F	0	True	True	false	1	True	false	false	True	False	1	0	1	F	0	False	T	False	F	True
African	F	T	F	1	False	T	1	F	F	F	False	False	0	False	T	T	0	1	F	True	T	True
Asian	M	T	F	F	False	false	True	False	false	F	True	false	1	T	T	False	0	0	0	T	false	True
European	female	False	false	1	False	1	false	True	0	F	0	F	True	False	1	False	T	false	0	F	True	False
African	F	T	F	False	False	F	True	0	F	False	false	T	False	False	F	false	1	1	T	True	T	False
American	F	True	0	0	0	0	False	True	False	T	True	1	1	false	False	0	1	T	True	0	True	False
American	M	False	F	False	False	False	False	F	F	F	false	false	True	F	T	T	True	1	false	F	1	True
Asian	M	F	T	false	False	T	0	0	1	false	false	1	T	False	T	false	0	0	T	True	False	True
Asian	F	False	false	F	False	F	True	F	1	0	F	False	F	1	T	1	1	F	F	T	false	True
American	M	False	0	false	false	false	True	False	false	T	T	T	T	T	1	T	false	F	False	True	0	True
American	F	1	True	F	F	True	True	false	1	F	F	1	False	T	False	True	0	F	false	True	1	False
African	M	T	0	F	False	false	F	1	0	True	false	false	1	False	0	false	1	1	False	F	0	False
asian	M	False	1	T	False	1	F	1	false	T	1	F	T	0	True	True	True	False	false	false	F	True
Asian	F	True	0	false	False	True	1	True	True	F	True	True	1	false	0	False	0	F	0	0	False	False
European	F	1	T	0	False	1	False	T	0	1	0	0	True	F	True	1	1	false	false	T	True	False
European	F	T	T	T	False	True	1	T	F	1	True	0	0	True	True	F	false	True	T	False	False	True
European	F	false	0	F	False	True	false	F	0	F	0	false	1	false	False	True	True	0	1	False	false	False
Asian	female	False	1	1	False	F	F	T	1	F	False	False	false	F	False	False	F	T	T	False	T	True
Asian	M	false	0	F	False	false	False	True	T	T	false	True	F	False	F	T	T	T	1	false	1	True
African	F	False	0	False	False	T	T	false	1	false	F	False	false	F	false	T	false	False	false	False	0	True
African	female	false	T	True	False	0	T	T	0	0	True	False	False	False	false	F	T	false	True	F	True	False
American	M	1	1	True	True	1	T	false	False	false	1	False	1	false	F	0	True	True	True	0	1	True
European	female	True	True	false	False	false	false	True	0	F	false	T	1	True	False	F	1	T	false	T	0	False
Asian	F	0	F	False	False	T	False	false	False	1	True	T	F	false	True	T	0	T	F	F	False	True
American	F	True	T	false	false	false	false	True	True	T	T	False	False	F	True	0	0	false	false	True	0	True
American	female	False	False	1	1	T	T	True	F	False	T	F	F	F	false	True	false	True	True	0	True	True
African	M	F	T	1	False	False	F	T	T	1	True	True	True	0	false	false	False	True	false	True	1	False
asian	female	false	T	False	False	F	True	False	0	F	False	false	1	1	0	True	0	True	T	0	T	True
European	female	false	F	False	False	F	T	T	1	0	0	0	T	false	False	F	True	True	F	false	False	False
asian	female	F	True	True	False	F	false	True	0	1	false	F	1	0	True	1	0	True	1	false	0	True
European	M	T	0	True	False	false	False	False	0	false	F	F	F	False	T	F	False	1	T	0	T	False
asian	F	True	T	True	False	false	false	false	T	F	T	True	0	false	1	0	F	0	True	True	T	False
Asian	female	F	1	T	False	0	F	True	1	True	0	F	1	0	F	True	True	1	F	1	True	True
African	F	1	False	False	False	False	False	T	False	T	True	False	false	0	True	T	1	0	F	F	0	False
American	F	True	False	F	F	False	F	F	0	0	F	1	T	True	F	0	True	T	F	1	false	True
American	F	0	True	T	T	1	1	T	0	1	True	T	1	1	false	True	False	False	F	F	True	True
American	F	F	False	F	F	F	False	T	0	False	false	T	0	False	False	T	false	1	F	false	F	True
African	female	1	T	True	False	1	True	false	T	false	F	T	1	True	false	false	1	1	False	F	0	False
asian	F	false	0	False	False	True	0	F	T	T	T	0	0	False	True	F	false	false	True	1	0	True
Asian	female	false	F	false	False	1	0	True	False	T	T	True	False	F	0	1	0	F	False	T	0	True
European	F	False	T	1	False	False	F	T	True	0	F	False	F	F	T	T	T	False	F	T	T	True
Asian	female	F	F	False	False	0	false	0	false	F	False	T	false	0	T	false	F	F	T	1	True	True
American	M	True	T	false	false	1	0	F	0	True	False	0	True	false	False	false	T	False	True	True	F	True
European	female	True	True	F	False	False	True	false	True	false	1	false	1	False	1	False	1	False	False	False	F	True
Asian	M	False	1	false	False	false	False	F	False	F	false	True	0	0	F	F	false	F	True	T	True	True
asian	female	False	1	1	False	false	True	1	T	T	1	T	False	false	True	True	false	T	True	0	T	False
asian	female	False	F	True	False	false	F	1	0	False	0	F	false	false	T	false	F	F	True	True	0	False
American	female	false	F	false	false	0	True	T	F	false	false	false	F	T	F	F	False	True	1	T	False	True
European	female	false	False	F	False	T	False	T	F	F	1	0	false	0	F	1	T	false	True	0	1	True
European	M	0	1	False	False	false	false	T	0	T	True	0	0	T	false	False	0	F	T	True	True	False
American	female	0	0	false	false	false	False	T	F	false	False	false	false	1	True	1	1	F	T	1	false	True
European	M	False	false	False	False	false	false	1	F	True	false	1	F	false	1	True	1	True	0	True	T	False
African	female	False	0	F	False	T	True	1	False	false	F	T	T	F	False	false	T	1	0	False	1	False
European	F	T	false	True	False	True	1	True	T	false	True	1	false	False	False	false	T	false	F	1	True	True
European	F	false	false	0	False	True	false	F	0	false	false	0	F	F	False	False	True	0	false	False	false	False
European	female	T	False	0	False	0	F	1	F	1	False	True	0	T	F	F	1	false	True	1	False	False
asian	F	false	False	T	False	1	False	F	0	1	True	True	False	false	True	false	1	F	True	0	False	True
American	F	True	false	F	F	0	F	0	false	T	0	0	0	F	True	F	1	True	T	1	F	True
Asian	female	F	0	0	False	False	T	F	1	True	True	T	T	0	1	0	false	True	T	T	T	True
African	F	F	False	False	False	False	false	True	false	T	False	True	T	T	F	T	T	True	False	1	True	False
Asian	F	False	T	1	False	True	0	F	True	False	False	0	T	false	1	0	True	True	0	T	T	True
American	F	T	0	false	false	false	F	1	false	True	1	True	F	1	false	F	True	False	False	false	T	True
African	F	T	True	1	False	0	0	True	True	false	false	True	0	T	false	1	F	False	False	1	T	False
European	M	True	True	0	False	F	0	1	True	false	0	F	T	1	True	F	0	false	F	false	False	False
European	female	0	0	false	False	false	0	false	F	1	F	False	1	1	False	false	1	false	1	1	T	False
American	female	false	False	False	False	false	1	F	T	false	0	False	0	0	T	0	1	1	false	T	1	True
European	female	T	False	F	False	F	0	True	F	0	false	false	F	1	T	True	false	0	T	false	F	False
European	M	False	false	F	False	True	false	F	False	F	1	false	1	True	True	False	True	false	False	True	1	False
Asian	M	false	false	False	False	0	True	True	0	F	True	T	True	false	false	1	F	1	0	False	false	True
African	female	True	True	False	False	T	F	F	False	1	false	False	1	False	0	false	False	0	False	false	false	False
Asian	M	false	false	False	False	True	F	F	0	False	1	0	True	F	False	1	1	1	T	F	F	True
European	F	False	True	false	False	false	False	True	1	0	0	0	false	False	True	False	0	0	True	False	True	False
American	M	0	false	T	T	0	0	false	1	F	T	1	0	F	false	T	0	T	0	True	1	True
African	M	T	0	1	False	0	False	false	True	false	True	True	False	F	T	T	F	True	F	True	True	True
asian	F	False	false	False	False	1	1	T	False	True	F	True	0	1	False	True	F	F	F	false	True	True
American	female	0	F	F	F	T	1	1	True	false	0	False	True	False	1	1	F	1	0	1	False	True
asian	F	1	0	false	False	0	False	False	F	1	False	0	F	false	false	False	false	T	T	1	false	False
asian	female	True	0	F	False	T	F	false	T	0	0	0	True	T	F	false	1	T	1	True	False	True
African	M	False	1	false	False	0	false	1	T	false	F	False	1	False	F	T	0	T	T	0	F	True
asian	female	False	F	False	False	F	F	T	False	True	1	0	1	F	false	True	False	0	True	false	False	True
Asian	female	false	false	0	False	F	1	F	1	0	0	True	False	T	false	T	T	True	0	false	1	True
African	female	0	False	True	False	False	0	T	False	1	False	false	1	F	T	F	0	false	F	False	T	False
European	F	0	False	False	False	1	False	F	False	0	True	F	T	True	True	False	T	1	0	0	True	True
American	female	True	1	False	False	1	1	1	false	false	False	True	0	1	False	0	F	1	1	True	F	True
African	M	False	1	false	False	True	True	1	T	False	1	T	True	True	1	True	False	1	F	F	0	False
asian	F	True	1	1	False	0	1	F	T	T	1	False	False	F	False	False	True	0	1	false	0	False
European	M	T	F	false	False	False	T	1	True	0	0	True	false	false	1	false	True	True	0	False	F	False
American	female	False	T	false	false	1	T	F	F	0	T	True	false	False	false	False	True	True	T	false	1	True
African	F	0	True	F	False	T	0	True	True	false	T	0	F	False	F	True	True	0	1	false	T	False
asian	female	False	T	T	False	false	False	False	false	F	0	T	1	T	false	False	True	True	F	False	false	True
American	F	False	0	0	0	1	false	True	True	false	T	0	F	False	F	T	false	F	False	F	0	True
Asian	M	1	T	0	False	False	false	True	F	F	T	T	F	True	True	True	False	false	F	1	False	True
African	F	0	F	1	False	T	0	False	True	False	false	0	1	False	F	0	F	True	false	1	F	False
Asian	F	False	false	false	False	0	False	false	F	false	True	F	false	F	1	True	false	True	0	false	0	False
American	female	F	F	False	False	F	1	False	True	True	T	True	T	T	False	1	F	1	false	True	0	False
European	F	1	True	1	False	False	F	false	False	T	T	F	0	F	True	True	0	False	F	0	T	False
African	M	True	F	false	False	T	T	1	F	false	F	false	F	1	True	True	False	false	0	False	false	False
asian	female	false	0	F	False	T	F	F	False	F	False	0	F	1	F	false	false	0	false	T	F	True
European	female	1	False	1	False	false	True	false	0	T	True	T	false	False	false	False	false	false	True	false	T	False
American	F	1	False	T	T	1	F	false	False	T	1	0	0	false	False	F	T	F	false	False	false	True
American	female	T	false	F	F	1	false	false	1	0	False	F	F	True	1	0	T	1	False	0	false	True
asian	F	false	False	False	False	1	T	True	false	1	F	F	T	0	false	True	F	False	False	False	F	True
European	female	F	False	False	False	false	false	1	0	False	F	False	0	False	True	True	false	0	false	1	F	False
Asian	F	True	False	T	False	1	True	1	0	False	True	T	T	T	True	1	0	T	False	T	1	True
American	F	false	0	F	F	1	1	1	F	False	1	0	T	0	0	1	T	T	1	T	0	True
American	female	False	0	T	T	0	T	T	0	false	False	T	0	True	0	1	0	false	T	T	F	True
Asian	female	False	1	0	False	false	True	1	false	T	True	T	F	1	false	1	False	false	false	F	1	True
asian	F	F	True	1	False	F	False	1	0	1	0	T	T	True	1	F	T	1	T	0	0	True
European	F	F	T	False	False	1	True	F	0	True	T	1	0	0	True	T	1	True	false	False	false	False
African	M	True	1	F	False	F	False	True	True	True	True	1	1	1	F	F	1	True	True	True	false	True
African	female	True	F	T	False	F	True	False	1	0	F	0	1	T	F	True	F	T	0	True	T	False
European	F	True	False	T	False	0	0	F	False	1	0	T	T	T	True	1	false	True	T	1	0	False
asian	F	False	True	0	False	F	F	1	F	1	True	True	True	False	True	0	0	False	T	F	0	False
European	female	T	False	False	False	1	F	False	1	0	F	1	True	False	True	T	false	True	1	F	F	False
African	female	1	T	False	False	True	0	T	F	F	false	False	True	F	T	False	T	False	F	False	1	False
asian	female	False	0	False	False	F	0	True	T	True	T	F	1	1	False	1	False	T	F	0	1	True
asian	female	True	false	false	False	0	F	false	False	0	T	0	1	T	T	1	false	F	False	F	True	True
African	M	1	0	1	False	F	False	T	True	T	False	F	false	F	false	F	True	1	0	F	True	False
asian	female	T	false	True	False	F	False	F	1	True	False	False	0	T	1	False	False	False	T	False	F	True
African	F	0	F	F	False	false	F	True	1	0	1	True	false	False	1	True	false	T	T	false	0	True
African	M	0	T	True	False	1	false	T	F	False	F	1	T	false	0	1	False	F	False	False	F	False
African	M	false	True	True	False	False	False	false	T	1	T	False	T	False	0	True	1	1	0	False	False	False
asian	female	1	T	False	False	1	0	T	T	True	1	F	false	True	T	False	F	False	True	0	False	True
African	female	False	T	0	False	False	F	false	0	1	1	0	F	1	True	T	False	T	1	False	0	False
American	female	T	F	1	1	F	F	1	1	0	1	True	0	1	false	false	1	1	True	False	false	True
Asian	M	F	F	T	False	F	False	1	F	0	0	F	0	T	0	True	F	0	F	F	F	True
Asian	female	True	false	True	False	false	0	0	false	T	True	False	T	false	1	0	0	True	True	0	1	True
American	M	T	True	True	True	F	0	False	F	False	0	T	F	1	false	True	false	false	True	false	False	True
asian	female	0	False	false	False	false	False	false	false	True	T	False	T	T	False	false	True	0	T	0	False	True
African	female	false	1	F	False	0	True	0	0	false	T	1	False	0	1	0	False	True	false	F	false	False
European	F	F	False	false	False	True	True	false	False	False	F	False	True	0	1	F	F	false	F	1	1	False
Asian	F	false	false	F	False	False	0	F	F	True	1	false	False	1	F	0	False	True	false	0	1	True
